Symbol,CMP,Score,ROCE,Volume
BAJAJCON.NS,229.3,707739.313389274,19.06,1017793
MGL.NS,1398.8,698703.7090909091,24.48,392450
ZENSARTECH.NS,798.0,697173.5148692225,21.28,914385
BCLIND.NS,43.13,693652.2191400832,13.31,751500
PENIND.NS,246.3,684189.2622099065,16.0,1234534
HSCL.NS,485.95,676665.5970186336,22.01,1237428
HEROMOTOCO.NS,4299.75,673698.3397829165,30.34,470523
ITDCEM.NS,733.95,671947.0120145292,27.64,870079
RATNAVEER.NS,152.75,667714.9398280804,14.3,814799
544434.NS,124.0,658873.4029015016,64.46,401600
HYUNDAI.NS,2062.15,658831.4860406092,54.22,383002
SONATSOFTW.NS,404.25,657385.6105491329,29.1,625307
INDHOTEL.NS,745.0,655740.2071053052,17.21,2391680
ABSLAMC.NS,863.0,654530.7743146827,35.51,490852
CELLECOR.NS,32.55,646209.7785206854,24.2,639000
TECHM.NS,1452.2,643040.1572481572,18.56,1128092
IRCTC.NS,731.65,641545.8356545961,49.01,610915
ACC.NS,1831.8,638372.7399872855,17.44,575780
NAVA.NS,593.45,631549.0274135877,17.17,617204
SYRMA.NS,745.0,626258.3891810669,12.41,3358380
ADVENZYMES.NS,351.55,613714.3555555554,13.11,1453534
SWSOLAR.NS,283.8,602386.2277355747,15.99,2330809
LUPIN.NS,1953.3,599683.6564805058,21.3,801549
POCL.NS,1121.75,588773.349593496,16.76,1469123
SONACOMS.NS,464.45,586688.6332474737,17.82,1661626
BEPL.NS,107.9,582595.8988057825,25.35,365645
GRSE.NS,2479.35,581994.8339106655,37.28,856288
PARAGMILK.NS,247.6,575567.2316034082,13.96,1064552
JTLIND.NS,73.65,575164.1631411185,13.17,1507131
TRAVELFOOD.NS,1115.2,570551.4025536015,41.69,568088
